"Year","France","United.Kingdom","Netherlands","Ireland","Germany","Denmark","Lithuania","Belgium","Spain","Poland"
"1970","1014","890","38","0","2112","0","0","0","0","0"
"1971","1350","1242","108","0","3362","0","0","0","0","0"
"1972","1297","2190","54","0","1553","0","0","0","0","0"
"1973","1603","2375","17","0","2577","0","0","0","0","0"
"1974","833","1280","15","0","1826","0","0","0","0","0"
"1975","678","6","561","0","4043","0","0","0","0","0"
"1976","1284","3","127","0","2346","0","0","0","0","0"
"1977","3544","10778","623","0","183","0","0","0","0","0"
"1978","2773","549","1523","0","1463","0","0","0","0","0"
"1979","3247","46","1321","0","1188","0","0","0","0","0"
"1980","3573","753","1131","0","79","0","0","0","0","0"
"1981","1125","35","553","0","0","4471","0","0","0","0"
"1982","908","141","928","0","0","1311","0","0","0","0"
"1983","802","6","795","0","19","4743","0","0","0","0"
"1984","817","1","0","0","0","1210","0","0","0","0"
"1985","2089","20","0","0","0","3111","0","0","0","0"
"1986","2570","30","0","0","0","3602","0","0","0","0"
"1987","965","124","0","0","0","1573","0","0","0","0"
"1988","2586","0","0","0","0","3234","0","0","0","0"
"1989","1219","1660","11","0","0","4667","0","0","0","0"
"1990","1128","2078","6","0","107","6113","0","0","0","0"
"1991","1963","2952","0","0","8","4462","0","0","0","0"
"1992","1777","4493","41","0","4","17843","0","0","0","0"
"1993","1135","4917","109","0","0","13395","0","0","0","0"
"1994","1285","2081","20","0","2","20804","0","0","0","0"
"1995","1282","7133","107","0","66","9603","0","0","0","0"
"1996","1563","7304","48","0","0","1396","0","0","0","0"
"1997","3346","7280","411","0","13","1124","0","0","0","0"
"1998","1974","6873","1647","192","100","14316","0","0","0","0"
"1999","119","4815","5166","2375","146","3490","0","0","8","0"
"2000","4074","4353","6586","354","436","1682","0","0","0","0"
"2001","8589","10375","6609","1060","454","0","0","0","0","0"
"2002","5324","7858","1905","2652","224","0","0","0","10","0"
"2003","6594","4358","6897","2580","25","0","0","0","0","0"
"2004","6681","2681","2187","6195","109","742","0","0","0","0"
"2005","11113","3631","2231","2083","274","0","0","0","5","0"
"2006","12965","1925","2287","698","481","0","17","0","2","0"
"2007","8865","2654","1106","14","0","4","0","0","0","0"
"2008","8665","3470","2073","875","42","54","0","0","0","0"
"2009","4135","2541","3406","33","0","0","0","0","0","0"
"2010","850","2521","6645","25","106","13","0","0","0","0"
"2011","507","3604","513","983","22","3","0","0","0","0"
"2012","444","4423","1439","8","0","0","0","0","0","0"
"2013","1768","3722","1804","236","214","40","0","0","0","0"
"2014","1202","3889","249","0","18","953","0","0","0","0"
"2015","1040","4293","1137","380","1551","1011","1","0","0","0"
"2016","863","9389","4697","232","1941","2286","0","1","0","0"
"2017","726","7623","1349","140","1095","2459","0","0","0","0"
"2018","663","8141","0","44","490","263","0","0","0","0"
"2019","873","6430","90","33","53","0","40","0.47","0","0.42"
